Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression 1,Chrome 92.0.4515.107,,,2021-07-27 08:18:17,2021-07-27 08:20:35,2m - 17.885s,PASSED
,,,,,,,
Test Cases/gE Test cases/gE_App Crashes Test,Chrome 92.0.4515.107,,"#87, #124",2021-07-27 08:18:18,2021-07-27 08:18:54,36.528s,PASSED
"loginHelper.loginToApp.loginApp(""https://gateway-edit.netlify.app/"", ""test001"", ""Test2021!"")",Chrome 92.0.4515.107,,,2021-07-27 08:18:18,2021-07-27 08:18:26,7.945s,PASSED
"ErrorMessage = getText(findTestObject(""Object Repository/First/Error message""))",Chrome 92.0.4515.107,,,2021-07-27 08:18:26,2021-07-27 08:18:28,2.007s,PASSED
println(ErrorMessage),Chrome 92.0.4515.107,,,2021-07-27 08:18:28,2021-07-27 08:18:28,0.002s,PASSED
"if (ErrorMessage == ""The application can not continue. The current username is not part of a DCS organization. Please contact your administrator."")",Chrome 92.0.4515.107,,,2021-07-27 08:18:28,2021-07-27 08:18:28,0.001s,PASSED
"click(findTestObject(""Object Repository/tN Card/button_gatewayEdit_Hamburger menu""))",Chrome 92.0.4515.107,,,2021-07-27 08:18:28,2021-07-27 08:18:28,0.303s,PASSED
"click(findTestObject(""Object Repository/First/span_Logout""))",Chrome 92.0.4515.107,,,2021-07-27 08:18:28,2021-07-27 08:18:29,0.498s,PASSED
loginHelper.loginToApp.logintoapp(),Chrome 92.0.4515.107,,,2021-07-27 08:18:29,2021-07-27 08:18:35,6.270s,PASSED
"loginHelper.AccountSettings.organization("""")",Chrome 92.0.4515.107,,,2021-07-27 08:18:35,2021-07-27 08:18:40,4.557s,PASSED
"loginHelper.AccountSettings.language("""")",Chrome 92.0.4515.107,,,2021-07-27 08:18:40,2021-07-27 08:18:42,2.790s,PASSED
"click(findTestObject(""Object Repository/tN Card/button_gatewayEdit_Hamburger menu""))",Chrome 92.0.4515.107,,,2021-07-27 08:18:42,2021-07-27 08:18:43,0.507s,PASSED
"click(findTestObject(""Object Repository/tN Card/font_Account Settings""))",Chrome 92.0.4515.107,,,2021-07-27 08:18:43,2021-07-27 08:18:45,2.350s,PASSED
"loginHelper.AccountSettings.organization(""unfoldingWord"")",Chrome 92.0.4515.107,,,2021-07-27 08:18:45,2021-07-27 08:18:50,4.345s,PASSED
"loginHelper.AccountSettings.language(""en"")",Chrome 92.0.4515.107,,,2021-07-27 08:18:50,2021-07-27 08:18:52,2.676s,PASSED
delay(2),Chrome 92.0.4515.107,,,2021-07-27 08:18:52,2021-07-27 08:18:54,2.007s,PASSED
,,,,,,,
Test Cases/gE Test cases/gE_Test Highlights from tWL,Chrome 92.0.4515.107,,#190,2021-07-27 08:18:54,2021-07-27 08:19:17,22.773s,PASSED
loginHelper.loginToApp.logintoapp(),Chrome 92.0.4515.107,,,2021-07-27 08:18:55,2021-07-27 08:19:01,6.173s,PASSED
"loginHelper.AccountSettings.organization("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:01,2021-07-27 08:19:05,4.561s,PASSED
"loginHelper.AccountSettings.language("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:05,2021-07-27 08:19:08,2.648s,PASSED
"loginHelper.selectFile.book(""Philemon"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:08,2021-07-27 08:19:10,2.317s,PASSED
"word1 = findTestObject(""Object Repository/twl/td_paul"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.028s,PASSED
"word2 = findTestObject(""Object Repository/twl/td_prison"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.026s,PASSED
"word3 = findTestObject(""Object Repository/twl/td_christ"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.029s,PASSED
"greekword1 = findTestObject(""Object Repository/twl/span_paul greek"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.028s,PASSED
"greekword2 = findTestObject(""Object Repository/twl/span_prison greek"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.025s,PASSED
"greekword3 = findTestObject(""Object Repository/twl/span_Christ greek"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.026s,PASSED
"greekWordList = [greekword1, greekword2, greekword3]",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.000s,PASSED
"wordList = [word1, word2, word3]",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:10,0.000s,PASSED
"for ([j = 0, j < greekWordList.size(), <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>])",Chrome 92.0.4515.107,,,2021-07-27 08:19:10,2021-07-27 08:19:17,6.611s,PASSED
closeBrowser(),Chrome 92.0.4515.107,,,2021-07-27 08:19:17,2021-07-27 08:19:17,0.103s,PASSED
,,,,,,,
Test Cases/gE Test cases/gE_Test tN Card data fetch,Chrome 92.0.4515.107,,#184,2021-07-27 08:19:17,2021-07-27 08:19:37,19.849s,PASSED
loginHelper.loginToApp.logintoapp(),Chrome 92.0.4515.107,,,2021-07-27 08:19:17,2021-07-27 08:19:23,6.026s,PASSED
"loginHelper.AccountSettings.organization("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:23,2021-07-27 08:19:28,5.190s,PASSED
"loginHelper.AccountSettings.language("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:28,2021-07-27 08:19:31,2.739s,PASSED
"loginHelper.selectFile.book(""Philemon"")",Chrome 92.0.4515.107,,,2021-07-27 08:19:31,2021-07-27 08:19:34,2.569s,PASSED
"if (verifyElementVisible(findTestObject(""Object Repository/tN Card/tN_Reference11"")))",Chrome 92.0.4515.107,,,2021-07-27 08:19:34,2021-07-27 08:19:37,3.048s,PASSED
closeBrowser(),Chrome 92.0.4515.107,,,2021-07-27 08:19:37,2021-07-27 08:19:37,0.094s,PASSED
,,,,,,,
Test Cases/gE Test cases/gE_Test tN column checkboxes,Chrome 92.0.4515.107,,#168,2021-07-27 08:19:37,2021-07-27 08:20:35,58.270s,PASSED
loginHelper.loginToApp.logintoapp(),Chrome 92.0.4515.107,,,2021-07-27 08:19:37,2021-07-27 08:19:43,5.736s,PASSED
